ID,Sex,JulianDay,Easting,Northing
392,M,104,609376.7597,5224908.702
209,F,105,611807.8699,5228485.892
334,M,105,610879.5083,5263513.607
362,F,105,656724.9578,5284465.099
374,M,105,651226.0309,5282095.209
375,F,105,650755.2489,5276490.366
376,F,105,603989.6114,5252525.952
377,F,105,643195.2032,5266471.833
378,F,105,634080.645,5269730.302
379,M,105,633417.5368,5269867.439
380,F,105,614834.9865,5261950.097
381,F,105,608107.633,5265442.789
382,M,105,613105.631,5262591.242
384,F,105,610126.3264,5260953.527
385,F,105,606861.7392,5258381.687
386,F,105,604009.9517,5252485.181
387,F,105,610691.7808,5243129.045
389,F,105,615819.3446,5239617.944
390,F,105,602541.7626,5246164.056
392,M,105,609693.1922,5225096.868
393,F,105,609895.4097,5217211.267
209,F,106,611796.3199,5228495.678
334,M,106,612972.8552,5262406.35
362,F,106,656883.5105,5284321.463
374,M,106,650235.2282,5282331.974
375,F,106,650969.9854,5276559.315
376,F,106,603937.3599,5252877.425
377,F,106,643136.6298,5266403.679
378,F,106,634064.3498,5269850.014
379,M,106,633227.2442,5270258.931
380,F,106,615859.0072,5261675.667
381,F,106,606851.3891,5265754.312
384,F,106,609979.4251,5260871.833
385,F,106,606843.8273,5258743.773
386,F,106,604595.0818,5251914.177
387,F,106,609366.4672,5245835.684
389,F,106,614534.5973,5240622.277
390,F,106,602495.1157,5246630.134
392,M,106,608864.3638,5225110.47
393,F,106,609764.4004,5217645.716
209,F,107,611178.2174,5228246.128
334,M,107,613973.1965,5263221.766
362,F,107,656971.5993,5284145.899
374,M,107,649103.2327,5282982.307
375,F,107,652266.1573,5277017.87
376,F,107,606342.0475,5245696.842
378,F,107,632937.0971,5270014.368
379,M,107,633256.914,5270211.797
380,F,107,615852.009,5261686.646
381,F,107,606673.5351,5265393.093
382,M,107,614359.3236,5263659.553
384,F,107,609753.0966,5261087.705
385,F,107,607111.0006,5258436.266
386,F,107,604366.5509,5251950.129
387,F,107,608117.4371,5245565.795
389,F,107,612373.962,5240485.057
392,M,107,609675.8145,5224766.385
393,F,107,609582.4147,5217841.336
209,F,108,611166.8824,5228284.823
334,M,108,612633.9662,5263887.328
362,F,108,656684.648,5284372.816
374,M,108,651890.696,5281378.555
375,F,108,651818.3043,5276894.97
376,F,108,607279.3657,5245291.429
377,F,108,643330.5337,5266787.618
378,F,108,632748.8936,5270944.083
379,M,108,633035.217,5270562.549
380,F,108,616476.5109,5262561.774
381,F,108,606834.6029,5265519.435
384,F,108,607665.5928,5260783.234
385,F,108,606778.5619,5258354.601
386,F,108,607774.4034,5247670.58
387,F,108,606624.5524,5245656.378
389,F,108,612054.5729,5240143.241
392,M,108,610529.1936,5224496.561
393,F,108,609762.41,5217671.247
209,F,109,611180.2808,5228257.283
334,M,109,613805.8553,5263808.848
362,F,109,656621.0525,5284392.232
374,M,109,652059.7169,5281550.897
375,F,109,649510.9601,5276814.154
376,F,109,607939.1464,5245277.931
