ID,Sex,Used,JulianDay,Easting,Northing,elevation,shrub,pfg,afg,tree
334,M,0,106,639546.4906,5266364.653,675,0,51,2,0
334,M,0,107,609528.805,5251734.512,737,0,44,1,0
334,M,0,108,609297.4019,5239137.197,742,0,82,1,0
334,M,0,109,621724.0376,5267121.983,640,5,67,4,5
334,M,0,110,604902.2617,5230216.95,704,0,44,1,0
334,M,0,111,633008.3832,5263284.995,806,0,87,0,0
334,M,0,112,642445.6283,5265372.82,642,20,30,3,20
334,M,0,113,612197.2304,5260916.024,768,0,86,3,0
334,M,0,115,609101.7931,5222459.053,671,1,74,2,1
334,M,0,116,627370.0565,5267592.535,746,4,75,3,4
334,M,0,117,610133.8622,5247753.3,731,3,19,7,3
334,M,0,118,614912.4018,5237977.976,715,8,60,6,8
334,M,0,119,606227.6592,5266076.745,660,1,68,1,1
334,M,0,120,617180.5598,5267696.633,604,2,38,2,2
334,M,0,121,632327.3756,5267749.46,706,36,11,3,36
334,M,0,122,632338.851,5263377.418,791,0,88,2,0
334,M,0,123,610265.8478,5236621.222,695,0,82,6,0
334,M,0,124,607945.6831,5262267.817,653,0,51,2,0
334,M,0,125,632171.3443,5263678.043,797,1,50,3,1
334,M,0,126,608648.9424,5240344.104,754,2,73,5,2
334,M,0,127,613583.181,5237351.633,737,0,54,0,0
334,M,0,128,609064.1752,5237977.806,685,2,73,2,2
334,M,0,129,610329.2667,5229674.33,753,5,31,4,5
334,M,0,130,607677.8927,5262550.852,622,5,59,3,5
334,M,0,132,609658.9271,5233617.89,767,6,60,9,6
334,M,0,133,622538.0524,5259732.468,677,0,54,11,0
334,M,0,135,615775.7948,5245717.673,713,4,70,3,4
334,M,0,136,614301.1354,5240070.337,705,10,30,3,10
334,M,0,137,650147.8147,5267081.394,675,7,66,8,7
334,M,0,138,611591.4049,5260816.472,785,0,89,0,0
334,M,0,139,642619.5628,5267799.434,616,12,46,9,12
334,M,0,140,617291.8946,5253682.726,735,0,32,1,0
334,M,0,141,614122.305,5249191.989,749,0,47,4,0
334,M,0,142,611288.7555,5261211.249,761,2,78,5,2
334,M,0,143,614280.4044,5250197.502,704,1,85,2,1
334,M,0,144,611610.6784,5235131.882,708,2,61,5,2
334,M,0,145,605006.9518,5244125.969,724,1,89,2,1
334,M,0,146,607874.9884,5253254.365,684,4,53,7,4
334,M,0,148,608326.9555,5261938.074,644,0,76,2,0
334,M,0,149,612231.2387,5232608.689,731,9,67,5,9
334,M,0,150,613165.2485,5237742.365,771,1,80,5,1
334,M,0,151,610858.7125,5252190.547,696,0,34,4,0
334,M,0,152,622204.4351,5265366.423,717,12,36,1,12
334,M,0,153,615241.5137,5235521.504,709,23,37,8,23
334,M,0,154,652505.7305,5267571.371,765,12,73,0,12
334,M,0,155,601925.1618,5250315.909,720,0,36,4,0
334,M,0,156,610863.5655,5245736.421,786,0,53,1,0
334,M,0,157,607737.5116,5219994.207,659,1,75,5,1
334,M,0,158,614832.5995,5258949.833,769,1,80,0,1
334,M,0,159,634976.6112,5264514.181,757,16,58,5,16
334,M,0,160,630205.0964,5262594.214,792,3,78,3,3
334,M,0,162,617987.3791,5267291.159,612,10,63,4,10
334,M,0,163,614694.1517,5247813.853,729,2,68,7,2
334,M,0,165,616478.9043,5242390.809,730,0,65,1,0
334,M,0,166,617810.0415,5266909.311,604,0,85,0,0
334,M,0,167,613213.8619,5238443.265,717,19,18,5,19
334,M,0,168,629211.1122,5260135.974,778,1,74,2,1
334,M,0,169,615111.3204,5250999.113,683,2,70,4,2
334,M,0,170,612109.2119,5233120.614,755,41,21,3,41
334,M,0,171,605837.1196,5259032.766,740,18,19,3,18
334,M,0,172,605282.3415,5223236.837,706,0,76,0,0
334,M,0,173,638801.0129,5263949.12,756,4,69,8,4
334,M,0,174,615814.5101,5252903.491,683,0,62,1,0
334,M,0,175,613296.3538,5232845.842,768,0,83,8,0
334,M,0,176,611647.3999,5252180.096,690,3,62,7,3
334,M,0,177,600943.239,5245860.158,766,10,18,0,10
334,M,0,178,603589.3558,5241739.646,639,1,17,4,1
334,M,0,179,606774.3192,5265471.914,693,0,42,0,0
334,M,0,180,611405.053,5241994.648,658,0,74,2,0
334,M,0,181,607413.5668,5219529.557,674,1,87,4,1
362,F,1,91,655094.8054,5279342.312,696,0,13,1,0
362,F,1,92,655088.0574,5279369.935,709,0,28,1,0
362,F,1,93,654773.1886,5279341.535,688,0,11,3,0
362,F,1,94,654822.0008,5279342.833,694,1,8,3,1
362,F,1,95,654440.2954,5279992.171,684,1,28,2,1
362,F,1,97,654744.1498,5279359.669,688,0,36,2,0
362,F,1,98,654449.7723,5280088.064,706,2,46,2,2
362,F,1,99,654827.5945,5279358.552,704,0,35,3,0
362,F,1,100,654565.5326,5279718.581,717,0,28,2,0
362,F,1,101,655934.0631,5281478.885,690,0,26,2,0
362,F,1,102,656976.7015,5284179.401,744,0,0,3,0
362,F,1,103,656685.4893,5284397.306,750,0,40,1,0
362,F,1,104,656619.0398,5284355.477,749,2,24,0,2
362,F,1,105,656724.9578,5284465.099,776,0,48,2,0
362,F,1,106,656883.5105,5284321.463,767,3,16,0,3
362,F,1,107,656971.5993,5284145.899,731,0,19,3,0
362,F,1,108,656684.648,5284372.816,750,0,23,3,0
362,F,1,109,656621.0525,5284392.232,747,0,55,8,0
362,F,1,110,655128.5328,5283485.85,754,6,34,9,6
362,F,1,111,655075.5082,5283531.144,720,3,19,3,3
362,F,1,112,655043.3681,5283553.641,723,0,21,7,0
