Created Date,Name,Species,Primary Breed,Sex,Age (Months),Age Group,Primary Color,Days in Custody,Days on Site,Current Weight,Attributes
03/16/2020,Eve,Dog,"Cattle Dog, Australian (Blue Heeler)",Female,58,Adult Dog (5 months-8 years),White,1,1,,
03/11/2020,Maggie,Dog,"Terrier, Fox, Smooth",Female,151,Senior (8+years),Black,1,1,,
02/08/2020,Toby,Dog,"Chihuahua, Long Coat",Male,52,Adult Dog (5 months-8 years),Black,1,1,,
02/08/2020,Chico,Dog,"Chihuahua, Short Coat",Male,54,Adult Dog (5 months-8 years),Brown,1,1,,
03/07/2020,El Chapo,Dog,"Terrier, Pit Bull",Male,41,Adult Dog (5 months-8 years),Black,1,1,,
03/02/2020,Watson,Dog,"Retriever, Golden",Male,111,Senior (8+years),Golden,1,1,,
02/01/2020,Nellie,Dog,"Terrier, American Staffordshire",Female,157,Senior (8+years),Tan,1,1,50 lbs,Angel Pet
02/01/2020,Nellie,Dog,"Terrier, American Staffordshire",Female,157,Senior (8+years),Tan,1,1,50 lbs,Angel Pet
02/27/2020,Spring,Cat,Domestic Longhair,Female,40,Young adult (1-5 years),Black,1,1,,
02/27/2020,Summer,Cat,Domestic Longhair,Female,40,Young adult (1-5 years),White,1,1,,
02/19/2020,Little Bit,Dog,"Terrier, Yorkshire, Yorkie",Female,171,Senior (8+years),Sable,1,1,5.9 lbs,Angel Pet
02/19/2020,Little Bit,Dog,"Terrier, Yorkshire, Yorkie",Female,171,Senior (8+years),Sable,1,1,5.9 lbs,Angel Pet
02/29/2020,Junior,Dog,"Chihuahua, Short Coat",Male,72,Adult Dog (5 months-8 years),Tan,1,1,,
05/28/2020,Barn Cat Fajita,Cat,Domestic Shorthair,Female,41,Young adult (1-5 years),Brown,44,44,7.8 lbs,Barn Cat
06/03/2020,Panther,Cat,Domestic Shorthair,Male,84,Adult Cat (5-10 years),Black,33,33,13.5 lbs,Bonded
05/28/2020,Taco,Cat,Domestic Longhair,Male,84,Adult Cat (5-10 years),Black,5,5,11.6 lbs,Bonded
05/28/2020,Quesadilla,Cat,Domestic Shorthair,Female,84,Adult Cat (5-10 years),Black,5,5,10.3 lbs,Bonded
02/08/2020,Cupcake,Cat,Domestic Longhair,Female,40,Young adult (1-5 years),Black,1,1,,
02/08/2020,Oreo,Cat,Domestic Shorthair,Female,40,Young adult (1-5 years),Black,1,1,,
02/24/2020,Pilot,Dog,"Terrier, American Pit Bull",Male,86,Adult Dog (5 months-8 years),Brindle,1,1,,
02/24/2020,Pilot,Dog,"Terrier, American Pit Bull",Male,86,Adult Dog (5 months-8 years),Brindle,1,1,,
06/03/2020,Popeye,Cat,Domestic Shorthair,Male,60,Adult Cat (5-10 years),Black,33,33,13.2 lbs,Bonded
02/19/2020,Titan,Dog,Pomeranian,Male,39,Adult Dog (5 months-8 years),Apricot,1,1,,
02/19/2020,Titan,Dog,Pomeranian,Male,39,Adult Dog (5 months-8 years),Apricot,1,1,,
02/19/2020,Savannah,Dog,Pomeranian,Female,39,Adult Dog (5 months-8 years),Apricot,1,1,,
02/19/2020,Savannah,Dog,Pomeranian,Female,39,Adult Dog (5 months-8 years),Apricot,1,1,,
03/07/2020,Ace,Dog,"Terrier, American Pit Bull",Male,44,Adult Dog (5 months-8 years),Tan,1,1,,
09/01/2020,Gibbs,Dog,"Chihuahua, Short Coat",Male,61,Adult Dog (5 months-8 years),Brown,1,1,12.76 lbs,
02/15/2020,Tailspin,Cat,Domestic Medium Hair,Female,72,Adult Cat (5-10 years),Black,1,1,,
02/29/2020,Midnight,Dog,"Terrier, American Pit Bull",Male,32,Adult Dog (5 months-8 years),Black,1,1,,
03/09/2020,Chaco,Cat,Domestic Longhair,Male,38,Young adult (1-5 years),White,1,1,,
02/10/2020,Lil Red,Dog,"Terrier, American Pit Bull",Female,54,Adult Dog (5 months-8 years),Red/Mahogany,1,1,,
03/14/2020,Blue,Dog,"Husky, Siberian",Male,37,Adult Dog (5 months-8 years),White,1,1,,
03/14/2020,Rocky,Dog,"Husky, Siberian",Male,37,Adult Dog (5 months-8 years),White,1,1,,
01/23/2020,Isabella,Dog,Havanese,Female,39,Adult Dog (5 months-8 years),Black,1,1,,
01/23/2020,Isabella,Dog,Havanese,Female,39,Adult Dog (5 months-8 years),Black,1,1,,
01/23/2020,Isabella,Dog,Havanese,Female,39,Adult Dog (5 months-8 years),Black,1,1,,
02/06/2020,Niko,Dog,Shepherd,Male,180,Senior (8+years),Brown,1,1,,
02/19/2020,Sapphire,Dog,"Retriever, Golden",Female,52,Adult Dog (5 months-8 years),Golden,1,1,,
02/19/2020,Sapphire,Dog,"Retriever, Golden",Female,52,Adult Dog (5 months-8 years),Golden,1,1,,
02/19/2020,Charlie,Dog,"Retriever, Golden",Female,52,Adult Dog (5 months-8 years),Golden,1,1,,
02/19/2020,Charlie,Dog,"Retriever, Golden",Female,52,Adult Dog (5 months-8 years),Golden,1,1,,
03/05/2020,Dakota Lee,Dog,Pomeranian,Male,25,Adult Dog (5 months-8 years),Blond,1,1,,
03/05/2020,Dakota Lee,Dog,Pomeranian,Male,25,Adult Dog (5 months-8 years),Blond,1,1,,
02/07/2020,Boo,Dog,"Poodle, Miniature",Female,37,Adult Dog (5 months-8 years),Black,1,1,,
02/07/2020,Boo,Dog,"Poodle, Miniature",Female,37,Adult Dog (5 months-8 years),Black,1,1,,
03/02/2020,Sugar,Dog,"Terrier, Tibetan",Female,36,Adult Dog (5 months-8 years),Black,1,1,,
03/02/2020,Sugar,Dog,"Terrier, Tibetan",Female,36,Adult Dog (5 months-8 years),Black,1,1,,
06/22/2020,Bernice,Cat,Domestic Longhair,Female,131,Senior (10+years),White,6,6,8.1 lbs,
01/16/2020,Stuffing,Cat,Domestic Longhair,Male,38,Young adult (1-5 years),Tan,1,1,,
01/24/2020,Sundae,Dog,"Retriever, Labrador",Female,45,Adult Dog (5 months-8 years),Black,1,1,,
01/24/2020,Sundae,Dog,"Retriever, Labrador",Female,45,Adult Dog (5 months-8 years),Black,1,1,,
03/14/2020,Mia,Dog,"Poodle, Miniature",Female,47,Adult Dog (5 months-8 years),White,1,1,,
