ID,LMT_Date,LMT_Time,DOP,elevation,slope,sin_aspect,cos_aspect,VRM21,dist2drainage,dist2spring,veg_class,used
20015,4/14/2016,0:01,7.2,1982.38,92.5323,0.685349,0.0507926,0.206199,93.3381,2224.25,Shrubland,1
20015,4/14/2016,16:00,4.2,1956.46,94.1857,0.517159,1.87571,0.224588,286.901,2268.02,Shrubland,1
20015,4/19/2016,12:02,5.4,2140.65,68.3563,1.41391,1.91032,0.0935484,103.73,2428.4,Shrubland,1
20015,5/1/2016,4:00,4,2140.65,68.3563,1.41391,1.91032,0.0935484,105.683,2429.75,Shrubland,1
20015,5/1/2016,8:00,4.2,2100.46,168.026,0.409186,1.80681,0.102853,90.609,2479.38,Shrubland,1
20015,5/1/2016,12:00,9,2118.31,65.5741,1.76541,1.64355,0.11192,108.904,2482.49,Shrubland,1
20015,5/1/2016,16:00,7.8,2155.44,96.4363,1.98427,0.823307,0.191753,168.648,2538.6,Open Tree Canopy,1
20015,5/4/2016,4:00,1.8,2147.77,103.136,0.455816,0.161034,0.178708,161.555,2521,Shrubland,1
20015,5/4/2016,8:00,2.6,2154.33,83.2214,0.409209,0.193176,0.181574,166.388,2522,Open Tree Canopy,1
20015,5/4/2016,12:00,2.4,2151.61,103.506,0.537081,0.113599,0.185278,164.794,2525.99,Open Tree Canopy,1
20015,5/4/2016,16:00,7.6,2139.57,130.552,1.98923,1.14637,0.113073,117.924,2473.16,Shrubland,1
20015,5/4/2016,20:00,5.6,2188.16,99.6467,0.985541,1.9999,0.183262,160.181,2415.53,Shrubland,1
20015,5/5/2016,4:00,2,2124.63,113.998,1.98538,1.17036,0.119057,115.313,2479.84,Shrubland,1
20015,5/5/2016,8:00,3.4,2109.17,89.7693,0.967102,1.99946,0.101585,96.8969,2475.33,Shrubland,1
20015,5/5/2016,12:00,2.4,2112.23,74.168,1.51185,1.85908,0.107259,105.759,2488.74,Shrubland,1
20015,5/5/2016,16:00,3.2,2109.12,91.1344,0.485362,0.142592,0.0956417,93.7443,2458.34,Shrubland,1
20015,5/6/2016,16:01,6.4,1993.4,74.3718,1.16652,1.98604,0.200622,30.0832,2517.54,Shrubland,1
20015,4/10/2016,0:00,2.8,2149.29,34.037,0.0357494,0.735008,0.165808,171.094,2142.57,Open Tree Canopy,1
20015,4/11/2016,20:01,3.2,1977.59,93.1718,1.92865,0.629033,0.182033,141.496,2132.6,Open Tree Canopy,1
20015,4/15/2016,0:01,3,1993.37,108.32,1.69674,0.282677,0.129807,93.4077,2145.43,Open Tree Canopy,1
20015,4/15/2016,20:01,4,2247.81,54.4355,0.666315,1.94268,0.235114,238.212,2253,Shrubland,1
20015,4/16/2016,0:00,2.4,1957.11,83.1819,1.52829,1.84906,0.108217,80.9197,3032.07,Shrubland,1
20015,4/19/2016,4:00,9.2,2111.47,142.182,1.8471,0.468567,0.0995254,82.3772,2424.36,Shrubland,1
20015,4/19/2016,8:00,4,2104.89,138.366,0.501812,0.132931,0.105911,75.213,2413.66,Shrubland,1
20015,4/19/2016,20:01,3.8,2091.17,74.6661,0.312606,0.273715,0.125911,58.8218,2429.06,Shrubland,1
20015,5/1/2016,20:03,7.4,2172.43,104.845,1.97136,1.23762,0.123434,163.368,2298.56,Shrubland,1
20015,5/5/2016,20:01,3,2084.2,60.0154,1.9049,1.42563,0.140627,50,2447.59,Shrubland,1
20015,4/9/2016,16:00,2.4,2155.04,45.5169,0.0756652,1.38158,0.217746,269.98,2027.21,Shrubland,1
20015,4/9/2016,20:00,2,2171.57,84.7267,0.302769,1.71685,0.227309,289.166,1990.85,Shrubland,1
