NestID,Species,Date_found,Veg_spp,Veg_height,Nest_height,Fate,Fate_date,Fate_time,Female,Male,Def_Pairs,Lik_Pairs,Prev_Nest,Start_date
TURA3,CLRA,4/11/2014,SPARALTE,0.78,0.35,3,,,,,,,,
TURA4,CLRA,4/23/2014,SPARALTE,,,2,,,,,,,,
TURA5,CLRA,4/23/2014,SPARALTE,0.85,0.25,3,,,,,,,,
TURA6,CLRA,5/8/2014,SPARALTE,0.74,0.47,3,,,,,,,,
TURA7,CLRA,5/8/2014,SPARALTE,0.68,0.32,3,,,,,,,,
TURA8,CLRA,5/8/2014,SPARALTE,0.83,0.13,,,,,,,,,
TURA9,CLRA,5/14/2014,SPARALTE,0.76,0.25,3,,,,,,,,
TURE1,CLRA,4/11/2014,SPARALTE,,,1,,,,,,,,
TURE10,CLRA,6/30/2014,SPARALTE,0.68,0.29,,,,,,,,,
TURE2,CLRA,4/11/2014,SPARALTE,0.8,0.3,1,,,,,,,,
TURE4,CLRA,4/23/2014,SPARALTE,0.55,0.25,3,,,,,,,,
TURE5,CLRA,4/23/2014,SPARALTE,0.65,0.22,3,5/6/2014,22:00:00,,,,,,
TURE6,CLRA,4/23/2014,SPARALTE,1.05,0.6,,,,,,,,,
TURE7,CLRA,5/8/2014,SPARALTE,0.7,0.35,,,,,,,,,
TURE8,CLRA,5/8/2014,SPARALTE,0.85,0.32,3,,,,,,,,
TURE9,CLRA,6/3/2014,SPARALTE,0.95,0.42,3,,,,,,,,
TURK1,CLRA,5/18/2014,SPARALTE,1,0.35,3,,,,,,,,
TURK2,CLRA,5/25/2014,BORRFRUT,0.45,0.15,,,,,,,,,
TURK3,CLRA,5/30/2014,SPARALTE,0.92,0.35,3,,,,,,,,
TURK4,CLRA,5/31/2014,SPARALTE,,,1,,,,,,,,
TURK5,CLRA,6/30/2014,SPARALTE,1.05,0.7,,,,,,,,,
TURK6,CLRA,6/30/2014,SPARALTE,0.85,0.35,5,,,,,,,,
TURK7,CLRA,7/10/2014,SPARALTE,0.85,0.37,,,,,,,,,
TURK8,CLRA,7/20/2014,SPARALTE,0.6,0.25,,,,,,,,,
WIS?1,SESP,7/3/2013,SPARALTE,,,,,,,,,,,
WIS?2,SESP,7/3/2013,SPARALTE,,,,,,,,,,,
WIS1,SESP,7/3/2013,SPARALTE,1.4,0.75,,,,,,,,,
WIS2,SESP,7/3/2013,SPARALTE,1.7,0.95,3,,,,,,,,
WIS3,SESP,7/3/2013,SPARALTE,,,,,,,,,,,
WIS4,SESP,7/3/2013,SPARALTE,1.3,0.55,3,,,,,,,,
WISF1,SESP,7/3/2013,SPARALTE,1.4,0.7,3,,,,,,,,
WISF10,SESP,7/3/2013,SPARALTE,1.2,0.6,3,,,,,,,,
WISF2,SESP,7/3/2013,SPARALTE,1.5,0.65,3,,,,,,,,
WISF3,SESP,7/3/2013,SPARALTE,1.2,0.65,3,,,,,,,,
WISF4,SESP,7/3/2013,SPARALTE,1.4,0.7,3,,,,,,,,
WISF5,SESP,7/3/2013,SPARALTE,1.3,0.6,,,,,,,,,
WISF6,SESP,7/3/2013,SPARALTE,1.6,0.7,3,,,,,,,,
WISF7,SESP,7/3/2013,SPARALTE,1.3,0.65,3,,,,,,,,
WISF8,SESP,7/3/2013,SPARALTE,1.4,0.6,3,,,,,,,,
WISF9,SESP,7/3/2013,SPARALTE,1.6,0.8,3,,,,,,,,
