COLLECTION_Date,TRACE,LONG,LAT,ELEV [m],TWT [ns],"SNOW DEPTH [m, assuming velocity of 0.234 m/ns]",SWE [mm assuming density of 335 kg/m3],EASTING,NORTHING,UTM_ZONE,TRANSECT
GPR_0042_020817,10424,-108.0645398,39.04447873,-999,5.5113,0.651,218,754050.3535,4325821.497,12S,46
GPR_0042_020817,10425,-108.0645395,39.0444789,-999,5.5113,0.651,218,754050.3832,4325821.518,12S,46
GPR_0042_020817,10426,-108.0645391,39.04447908,-999,5.5114,0.645,216,754050.413,4325821.538,12S,46
GPR_0042_020817,10427,-108.0645388,39.04447925,-999,5.5601,0.651,218,754050.4427,4325821.559,12S,46
GPR_0042_020817,10428,-108.0645384,39.04447943,-999,5.5601,0.651,218,754050.4724,4325821.579,12S,46
GPR_0042_020817,10429,-108.0645381,39.0444796,-999,5.5601,0.651,218,754050.5022,4325821.6,12S,46
GPR_0042_020817,10430,-108.0645377,39.04447978,-999,5.5601,0.651,218,754050.5319,4325821.62,12S,46
GPR_0042_020817,10431,-108.0645374,39.04447995,-999,5.5601,0.651,218,754050.5617,4325821.641,12S,46
GPR_0042_020817,10432,-108.064537,39.04448013,-999,5.6089,0.656,220,754050.5914,4325821.661,12S,46
GPR_0042_020817,10433,-108.0645367,39.0444803,-999,5.6089,0.656,220,754050.6212,4325821.682,12S,46
GPR_0042_020817,10434,-108.0645363,39.04448048,-999,5.5601,0.651,218,754050.6509,4325821.702,12S,46
GPR_0042_020817,10435,-108.064536,39.04448065,-999,5.5601,0.651,218,754050.6806,4325821.722,12S,46
GPR_0042_020817,10436,-108.0645356,39.04448083,-999,5.5601,0.651,218,754050.7104,4325821.743,12S,46
GPR_0042_020817,10437,-108.0645355,39.04448083,-999,5.5601,0.651,218,754050.7176,4325821.743,12S,46
GPR_0042_020817,10438,-108.0645355,39.04448083,-999,5.5601,0.651,218,754050.7248,4325821.743,12S,46
GPR_0042_020817,10439,-108.0645354,39.04448083,-999,5.5601,0.651,218,754050.732,4325821.744,12S,46
GPR_0042_020817,10440,-108.0645353,39.04448083,-999,5.5113,0.651,218,754050.7392,4325821.744,12S,46
GPR_0042_020817,10441,-108.0645352,39.04448083,-999,5.5601,0.651,218,754050.7465,4325821.744,12S,46
GPR_0042_020817,10442,-108.0645351,39.04448083,-999,5.5114,0.645,216,754050.7537,4325821.744,12S,46
GPR_0042_020817,10443,-108.064535,39.04448083,-999,5.5113,0.651,218,754050.7609,4325821.745,12S,46
GPR_0042_020817,10444,-108.064535,39.04448083,-999,5.5601,0.651,218,754050.7681,4325821.745,12S,46
GPR_0042_020817,10445,-108.0645349,39.04448083,-999,5.5113,0.651,218,754050.7753,4325821.745,12S,46
GPR_0042_020817,10446,-108.0645348,39.04448083,-999,5.5601,0.651,218,754050.7825,4325821.745,12S,46
GPR_0042_020817,10447,-108.0645347,39.04448083,-999,5.5601,0.651,218,754050.7897,4325821.746,12S,46
GPR_0042_020817,10448,-108.0645346,39.04448083,-999,5.5113,0.651,218,754050.797,4325821.746,12S,46
GPR_0042_020817,10449,-108.0645345,39.04448083,-999,5.6089,0.656,220,754050.8042,4325821.746,12S,46
GPR_0042_020817,10450,-108.0645345,39.04448083,-999,5.5601,0.651,218,754050.8114,4325821.746,12S,46
GPR_0042_020817,10451,-108.0645344,39.04448083,-999,5.5114,0.645,216,754050.8186,4325821.746,12S,46
GPR_0042_020817,10452,-108.0645343,39.04448083,-999,5.5113,0.651,218,754050.8258,4325821.747,12S,46
GPR_0042_020817,10453,-108.0645342,39.04448083,-999,5.6089,0.656,220,754050.833,4325821.747,12S,46
GPR_0042_020817,10454,-108.0645341,39.04448083,-999,5.5601,0.651,218,754050.8402,4325821.747,12S,46
GPR_0042_020817,10455,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8474,4325821.747,12S,46
GPR_0042_020817,10456,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10457,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10458,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10459,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10460,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10461,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10462,-108.064534,39.04448083,-999,5.5601,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10463,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10464,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10465,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10466,-108.064534,39.04448083,-999,5.5114,0.645,216,754050.8547,4325821.748,12S,46
GPR_0042_020817,10467,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10468,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10469,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10470,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10471,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10472,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10473,-108.064534,39.04448083,-999,5.5601,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10474,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10475,-108.064534,39.04448083,-999,5.4626,0.645,216,754050.8547,4325821.748,12S,46
GPR_0042_020817,10476,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10477,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10478,-108.064534,39.04448083,-999,5.5601,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10479,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10480,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10481,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10482,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10483,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10484,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10485,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10486,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10487,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10488,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10489,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10490,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10491,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10492,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10493,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10494,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10495,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10496,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10497,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10498,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10499,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10500,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10501,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10502,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10503,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10504,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10505,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10506,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10507,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10508,-108.064534,39.04448083,-999,5.5601,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10509,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10510,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10511,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10512,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10513,-108.064534,39.04448083,-999,5.5601,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10514,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10515,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10516,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10517,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10518,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10519,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10520,-108.064534,39.04448083,-999,5.6577,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10521,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10522,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10523,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10524,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10525,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10526,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10527,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10528,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10529,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10530,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10531,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10532,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10533,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10534,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10535,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10536,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10537,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10538,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
